name,AQI,PM2.5,PM10,CO,CO2,O3/1,O3/8,SO2
良,58,21,65,0.894,17,41,45,36
良,63,25,76,1.19,14,43,46,36
良,62,22,74,1.134,12,51,45,29
良,68,25,86,1.241,20,44,38,27
良,74,27,97,1.304,22,47,34,24
轻度污染,102,46,154,1.611,36,38,32,26
轻度污染,126,62,202,1.926,70,20,30,28
轻度污染,119,60,188,1.881,72,23,31,31
轻度污染,106,53,161,1.632,57,43,25,28
轻度污染,120,64,190,2.139,61,33,17,25
轻度污染,110,58,170,1.751,44,26,12,27
轻度污染,124,70,198,2.437,52,12,8,34
轻度污染,120,66,190,2.533,53,7,8,32
轻度污染,110,58,170,2.567,54,7,10,34
轻度污染,111,57,171,2.293,64,7,15,28
轻度污染,109,56,167,2.155,74,7,26,21
轻度污染,102,50,153,1.721,68,21,38,22
良,92,43,133,1.764,83,18,48,21
良,78,31,106,1.375,48,45,49,24
良,80,36,109,1.271,33,59,44,25
良,84,43,118,1.392,35,59,31,27
良,81,40,112,2.092,71,36,19,25
良,80,42,110,2.033,52,31,14,24
良,69,29,87,3.059,60,11,11,27
良,60,23,69,1.995,53,7,12,29
良,61,24,71,1.883,56,8,14,27
良,61,24,71,1.512,49,15,14,24
良,64,27,78,1.504,51,15,24,23
良,76,36,101,1.684,59,16,36,22
良,69,28,88,2.028,80,9,48,22
良,62,21,73,1.465,49,42,56,23
良,58,17,65,1.141,18,65,49,22
优,44,24,44,1.151,17,62,38,23
优,50,28,50,1.278,19,51,27,23
优,45,24,45,1.589,40,27,24,25
优,45,24,45,1.605,40,23,26,24
优,48,25,48,1.902,41,17,29,26
良,52,27,53,1.391,21,30,33,29
良,55,29,59,1.182,16,38,31,28
良,54,29,57,1.4,31,28,29,26
良,53,26,55,1.232,26,37,24,23
良,55,27,59,1.264,35,29,21,24
良,52,23,54,1.427,47,24,17,23
良,54,27,58,1.195,36,34,12,24
良,80,59,106,2.123,39,10,8,24
良,76,53,102,2.023,34,9,11,22
良,74,47,97,2.705,42,7,12,23
良,68,40,85,1.91,41,8,15,24
良,69,40,87,1.63,25,19,17,22
良,72,43,93,1.931,37,13,16,21
良,76,46,101,1.722,35,21,17,21
良,81,51,111,1.834,42,18,18,21
良,88,54,125,1.726,48,16,20,23
良,96,62,141,1.879,47,18,22,28
轻度污染,105,69,159,1.814,54,17,23,35
轻度污染,113,79,175,1.806,53,21,26,41
良,100,70,149,1.733,47,25,32,49
良,100,68,149,1.781,42,25,34,56
良,96,62,142,1.42,30,31,38,54
良,93,57,136,1.283,29,32,36,54
良,85,46,119,1.088,14,47,29,56
良,83,44,116,0.415,13,41,19,51
良,71,36,92,1.178,17,34,12,50
良,56,25,62,1.643,33,8,11,49
良,98,60,146,2.048,43,7,17,50
轻度污染,127,83,204,2.084,59,7,21,49
中度污染,165,113,279,1.885,66,15,22,46
中度污染,165,108,280,1.746,56,34,19,52
重度污染,268,162,397,2.456,127,26,13,49
重度污染,233,157,373,2.848,113,16,9,48
重度污染,228,156,369,2.519,94,9,8,59
重度污染,252,159,386,3.449,112,7,10,66
重度污染,240,156,378,2.552,113,7,11,59
重度污染,210,149,357,3.103,118,7,13,59
中度污染,198,148,339,2.129,103,14,19,51
中度污染,189,138,328,2.398,118,8,36,45
中度污染,176,114,301,2.652,133,9,58,47
中度污染,167,112,283,2.59,126,23,76,54
中度污染,172,118,293,1.898,73,77,79,55
严重污染,314,178,431,2.256,85,97,61,68
严重污染,383,195,486,2.395,88,97,39,80
严重污染,347,188,457,2.754,103,31,12,81
严重污染,330,182,444,3.176,98,17,9,82
重度污染,296,170,417,2.643,72,9,7,73
严重污染,347,177,457,2.472,75,7,7,81
重度污染,285,158,409,2.701,80,7,7,71
严重污染,314,166,431,2.776,93,7,8,73
严重污染,337,173,449,4.311,107,7,9,57
重度污染,272,158,400,3.654,106,7,12,45
重度污染,266,154,396,2.774,113,9,13,31
重度污染,239,143,377,2.499,120,10,15,33
重度污染,250,148,385,2.196,91,26,14,34
重度污染,229,142,370,2.425,101,10,11,37
重度污染,206,132,354,1.772,91,16,11,30
重度污染,212,131,358,2.734,93,11,11,28
中度污染,193,126,336,2.474,84,8,10,30
中度污染,160,103,270,1.874,87,7,11,43
轻度污染,146,90,242,1.34,70,16,10,73
轻度污染,122,62,193,1.456,81,9,10,70
轻度污染,112,54,174,1.425,87,7,22,69
轻度污染,132,69,214,1.148,93,7,36,63
轻度污染,106,46,162,1.933,97,11,50,56
良,86,31,121,0.848,46,48,60,53
良,80,26,109,0.57,19,65,53,51
良,85,30,120,0.589,15,66,41,73
轻度污染,113,54,175,0.834,22,63,33,63
中度污染,185,124,319,1.92,78,28,27,52
中度污染,182,123,314,2.108,72,21,24,56
中度污染,181,129,311,1.905,51,32,20,55
中度污染,189,142,316,1.642,38,38,14,65
轻度污染,148,106,245,1.575,93,9,14,57
轻度污染,149,109,247,2.639,108,7,30,43
轻度污染,133,92,215,2.468,117,7,48,43
轻度污染,114,75,177,1.95,128,16,63,39
轻度污染,112,73,174,1.186,58,72,65,41
轻度污染,113,76,176,1.126,51,75,49,38
轻度污染,119,86,188,0.963,45,75,32,39
轻度污染,128,94,205,1.101,56,50,16,34
轻度污染,120,83,190,2.304,77,13,8,35
轻度污染,134,102,208,2.352,67,8,7,33
轻度污染,123,93,188,2.102,68,7,7,43
轻度污染,122,92,186,1.187,69,7,7,54
轻度污染,133,101,204,2.788,79,7,7,23
轻度污染,120,91,182,3.232,89,7,18,23
轻度污染,113,85,168,2.809,102,7,32,23
良,95,67,139,2.623,110,7,46,23
良,80,53,110,1.191,73,40,56,23
良,79,53,108,0.692,34,64,48,23
良,94,69,138,0.839,39,64,33,23
轻度污染,122,92,183,1.092,43,52,19,16
轻度污染,140,107,196,1.462,66,18,10,13
良,84,49,118,2.461,83,7,40,18
良,84,49,118,2.461,83,7,40,25
良,84,49,118,2.461,83,7,40,29
良,84,49,118,2.461,83,7,40,44
良,84,49,118,2.461,83,7,40,25
良,84,49,118,2.461,83,7,40,36
良,84,49,118,2.461,83,7,40,32
良,76,40,101,1.411,52,38,46,22
良,72,36,93,1.121,28,54,40,27
良,81,46,112,1.275,28,50,29,32
良,90,54,129,1.173,28,40,19,28
良,94,58,138,1.284,35,25,13,29
轻度污染,104,67,157,1.939,40,10,13,35
轻度污染,102,65,154,1.788,42,7,16,38
良,99,61,148,1.375,40,12,20,36
良,97,58,144,1.276,32,21,22,35
轻度污染,103,61,156,1.314,33,22,21,37
轻度污染,102,57,153,1.343,40,21,21,32
良,99,52,147,1.441,44,20,22,34
良,100,50,150,1.556,50,17,22,29
良,93,45,136,1.36,42,22,23,23
良,92,44,134,1.319,34,27,20,27
良,89,43,128,1.38,33,23,17,26
良,92,51,133,1.436,33,19,16,17
良,99,61,148,1.486,39,13,16,41
轻度污染,118,81,186,1.518,38,16,20,41
良,96,56,142,1.261,36,17,25,34
良,100,57,149,1.283,38,20,29,33
良,83,39,116,1.307,42,24,32,29
良,75,30,99,1.088,30,34,37,16
良,72,26,93,1.051,36,33,38,17
良,71,24,91,0.979,39,30,37,19
良,64,19,77,0.855,22,45,35,12
良,78,36,106,1.168,26,40,25,15
良,98,61,146,1.398,30,31,17,13
良,63,25,75,0.912,27,31,12,11
良,86,57,122,1.645,51,8,8,9
良,83,55,116,1.703,61,8,8,87
良,67,39,84,1.466,58,9,8,37
良,63,35,76,1.78,65,7,8,30
良,59,31,68,1.578,72,8,18,53
良,58,30,66,1.344,70,12,32,46
良,56,27,62,1.84,87,8,51,46
良,84,21,117,2.471,31,37,40,31
轻度污染,130,31,209,2.298,21,42,34,32
轻度污染,140,27,230,2.514,12,47,34,40
良,81,43,111,2.682,56,7,7,43
良,74,37,98,2.8,57,7,7,44
良,74,37,98,2.741,59,7,8,43
轻度污染,101,65,151,2.9,66,8,14,11
轻度污染,119,83,187,2.989,74,8,23,20
轻度污染,102,62,153,2.904,84,7,30,12
良,73,35,96,1.999,52,29,33,18
良,72,35,94,2.213,38,41,29,26
良,78,41,106,2.34,36,39,20,47
良,72,46,93,1.944,38,29,16,19
良,73,53,95,3.19,53,13,14,17
良,56,31,62,2.732,52,9,14,15
优,47,22,47,2.312,40,23,14,18
良,53,26,55,2.389,53,12,13,23
良,55,27,60,2.279,51,15,13,24
良,57,29,64,2.779,62,7,20,29
良,57,28,64,2.524,63,14,31,29
良,57,28,63,2.568,67,12,40,26
良,51,21,52,2.132,43,34,47,49
优,49,19,49,1.979,21,51,44,47
良,51,19,52,1.968,17,52,36,40
良,54,22,57,2.034,17,47,27,25
良,60,30,69,2.197,30,30,20,27
良,55,25,60,2.153,35,23,15,26
良,60,33,69,2.267,40,17,12,26
良,70,49,90,2.342,46,12,9,32
良,89,66,115,2.646,60,10,8,27
良,89,66,116,3.323,74,7,13,26
良,94,70,125,3.432,82,7,21,14
良,78,57,102,3.2,92,8,30,18
良,72,51,94,2.543,74,23,34,20
良,68,47,86,2.377,63,35,31,32
良,70,50,90,2.386,44,47,23,26
良,84,62,104,2.674,49,30,14,29
良,93,69,116,2.887,45,17,10,23
轻度污染,108,81,137,3.264,46,9,8,23
良,72,52,94,3.318,51,7,8,25
良,65,43,80,2.344,49,10,8,72
良,85,63,115,3.205,50,7,8,40
良,77,56,103,2.941,60,7,11,33
良,74,54,96,3.139,69,8,19,25
良,62,38,74,2.694,80,8,27,26
良,59,33,67,2.496,75,13,34,29
良,57,33,63,2.135,38,41,30,39
良,55,31,59,2.14,34,42,25,28
良,60,41,69,2.303,36,40,17,25
轻度污染,120,91,135,3.238,55,18,10,29
轻度污染,133,101,157,3.825,51,8,10,33
轻度污染,120,91,137,3.577,46,8,11,41
轻度污染,119,90,137,3.794,58,8,10,41
轻度污染,107,80,119,3.653,53,11,11,28
良,76,_,101,3.658,60,11,17,33
良,86,_,122,4.357,63,7,27,42
轻度污染,144,110,150,4.134,75,7,35,36
轻度污染,117,88,122,3.307,52,33,38,36
轻度污染,140,107,137,3.395,46,47,31,42
中度污染,159,121,147,3.495,45,43,22,48
中度污染,172,130,164,3.695,46,32,16,53
重度污染,225,175,222,4.648,57,9,12,50
中度污染,185,139,195,3.851,45,11,11,48
中度污染,172,130,179,3.861,39,17,10,64
重度污染,244,194,242,4.349,49,9,7,41
重度污染,263,213,274,5.191,57,7,9,28
重度污染,258,208,276,5.608,58,7,10,28
重度污染,257,207,278,6.471,65,7,16,32
重度污染,244,194,254,5.203,79,8,21,_
重度污染,242,192,245,4.884,72,18,22,_
重度污染,251,201,260,4.467,67,29,20,60
重度污染,249,199,263,4.337,51,33,13,59
重度污染,288,238,362,6.71,87,10,9,44
轻度污染,144,110,199,4.493,40,13,8,58
轻度污染,127,96,196,4.466,37,7,7,83
轻度污染,147,112,225,4.698,37,7,7,57
中度污染,153,117,233,5.238,43,7,7,62
—,_,_,_,_,_,_,8,54
—,_,_,_,_,_,_,8,47
中度污染,160,122,242,4.899,60,7,11,49
中度污染,159,121,232,4.43,58,8,13,62
轻度污染,140,107,207,4.377,66,7,14,48
轻度污染,139,106,202,3.113,50,20,14,40
轻度污染,149,114,210,4.705,50,14,11,53
轻度污染,147,112,202,4.174,44,14,9,51
轻度污染,138,105,193,4.341,45,10,8,69
中度污染,160,122,232,4.043,46,7,7,43
中度污染,162,123,234,4.936,46,7,7,50
中度污染,170,129,244,4.346,50,7,7,37
中度污染,162,123,232,4.678,56,7,7,41
轻度污染,135,103,195,4.541,55,7,7,39
轻度污染,138,105,201,4.388,57,7,8,38
轻度污染,129,98,192,4.156,56,8,9,72
轻度污染,145,111,211,4.715,61,7,9,49
轻度污染,145,111,203,5.066,60,9,9,40
轻度污染,144,110,196,4.454,54,11,8,35
轻度污染,142,108,196,4.359,50,10,8,42
轻度污染,138,105,193,4.79,38,7,7,35
轻度污染,110,83,155,3.903,38,8,7,36
轻度污染,103,77,145,2.746,42,7,7,44
轻度污染,102,76,141,3.754,41,7,7,38
轻度污染,107,80,146,3.918,46,7,7,22
轻度污染,104,78,143,3.856,47,7,7,23
轻度污染,102,76,140,3.818,47,7,7,28
良,97,72,133,3.901,49,7,9,38
良,97,72,136,4.021,48,7,11,32
良,90,67,123,3.835,47,8,12,30
良,77,56,103,3.68,43,13,12,31
良,75,52,99,3.515,41,15,11,31
良,73,50,96,3.652,41,11,12,25
良,68,40,86,3.345,38,10,13,30
良,68,38,85,3.314,40,10,12,35
良,60,28,70,3.183,34,18,14,43
良,59,27,68,3.214,38,18,12,33
良,60,26,70,3.456,52,7,14,63
良,57,23,64,3.329,43,16,19,36
良,57,25,64,3.348,45,15,21,14
良,55,23,60,3.375,52,13,25,17
良,52,20,54,3.156,35,29,25,38
良,58,26,65,3.263,35,28,20,23
良,58,27,65,3.339,36,26,16,20
良,61,29,72,3.618,42,17,13,22
良,63,32,75,3.461,42,12,14,25
良,63,32,76,3.506,46,8,14,37
良,63,31,75,3.388,42,10,14,51
良,56,23,62,3.061,26,26,16,35
良,66,32,81,3.483,43,10,20,42
良,73,39,96,4.112,53,7,30,35
良,58,23,66,3.334,48,21,39,46
良,55,22,60,3.121,32,37,40,39
良,54,24,58,3.171,23,46,34,34
良,55,27,59,3.239,18,46,25,36
良,61,36,72,3.411,24,34,18,27
良,79,58,100,3.768,32,17,14,31
良,70,50,90,3.682,30,12,13,31
良,69,47,87,3.647,30,14,12,28
良,70,49,89,3.546,28,17,12,33
良,66,45,82,3.695,41,10,14,34
良,64,40,77,3.802,45,8,14,33
良,61,35,72,3.727,46,9,17,29
良,64,39,77,3.519,35,18,19,30
良,57,31,63,3.462,35,19,17,26
良,56,30,62,3.428,36,17,16,27
良,57,30,63,3.367,33,19,12,23
良,59,33,68,3.532,36,13,11,24
良,62,35,74,3.476,33,12,11,30
良,63,35,76,3.498,34,10,11,28
良,63,34,76,3.478,32,10,10,29
良,65,34,79,3.448,28,14,9,33
良,69,36,87,3.543,34,10,8,42
良,70,36,90,3.368,38,7,8,57
良,71,38,92,3.412,39,8,8,74
良,70,37,90,3.403,41,8,8,55
良,73,41,96,3.442,42,8,8,50
良,95,64,139,3.841,42,9,8,58
轻度污染,112,80,173,3.99,41,8,8,70
轻度污染,117,84,183,4.081,39,8,8,52
轻度污染,117,81,184,4.074,39,9,7,38
轻度污染,138,99,226,4.267,46,7,7,44
中度污染,200,150,330,4.649,57,7,7,49
重度污染,204,154,325,4.453,55,7,7,39
重度污染,236,178,375,5.024,64,7,7,_
重度污染,235,180,374,4.794,69,7,8,_
重度污染,255,192,388,4.707,70,6,10,52
重度污染,232,182,355,5.156,75,7,16,55
重度污染,226,176,341,5.005,73,8,19,50
重度污染,220,170,351,4.758,64,15,21,48
重度污染,214,164,327,4.66,44,32,22,46
重度污染,213,163,321,4.632,38,21,14,43
重度污染,226,176,336,5.218,24,11,8,34
—,_,_,_,_,_,_,_,38
—,_,_,_,_,_,_,_,28
重度污染,253,180,387,5.019,70,7,7,31
严重污染,307,203,425,5.302,66,7,7,37
重度污染,266,185,396,5.201,65,7,7,54
重度污染,238,177,376,4.869,64,7,8,43
重度污染,275,190,402,5.565,65,7,8,35
重度污染,256,184,389,5.182,68,7,8,43
重度污染,246,175,382,4.773,63,9,8,80
重度污染,218,168,362,4.808,57,8,7,81
重度污染,245,177,381,4.882,47,7,7,60
重度污染,215,165,359,4.864,42,7,7,69
中度污染,161,121,272,4.83,32,7,7,83
中度污染,153,116,255,4.783,38,7,7,93
轻度污染,148,110,245,4.565,38,7,7,70
轻度污染,143,105,235,4.34,42,7,7,68
中度污染,152,110,253,4.288,48,7,9,63
中度污染,158,116,266,4.757,55,7,14,94
中度污染,168,122,285,4.905,70,7,19,109
轻度污染,138,96,226,4.086,69,11,22,87
轻度污染,135,93,220,3.993,61,23,20,77
轻度污染,129,88,207,4.021,52,31,16,92
轻度污染,134,91,218,4.176,52,23,10,73
中度污染,159,118,268,4.72,59,8,7,62
中度污染,170,129,285,4.308,60,7,7,53
中度污染,200,150,339,4.694,66,7,8,52
中度污染,195,144,339,5.157,68,8,8,86
中度污染,187,139,324,4.81,68,7,8,48
中度污染,200,142,349,5.656,75,8,9,40
中度污染,162,112,274,5.488,81,8,10,37
轻度污染,122,82,194,4.048,86,8,14,39
轻度污染,119,76,187,3.868,88,9,18,40
轻度污染,114,72,178,3.836,84,15,18,45
轻度污染,129,93,208,4.198,72,27,14,63
轻度污染,131,95,212,4.005,61,27,12,64
轻度污染,131,91,211,4.479,48,12,8,66
轻度污染,140,99,230,4.418,44,8,7,52
轻度污染,119,80,188,4.261,47,7,7,52
良,100,61,149,3.518,47,7,7,63
轻度污染,110,72,170,4.267,49,7,7,75
轻度污染,133,86,216,4.42,51,7,9,51
轻度污染,117,73,184,4.214,56,7,11,77
轻度污染,103,60,156,4.013,75,7,18,35
良,93,51,136,3.648,74,7,24,29
良,84,41,118,3.337,67,18,26,33
良,79,40,108,3.026,46,35,22,30
良,81,43,111,2.96,40,32,15,15
良,79,41,107,3.016,36,20,10,16
良,84,45,117,3.774,36,8,10,18
良,70,31,90,3.024,45,7,10,20
良,76,36,102,3.167,40,7,11,32
良,67,26,83,2.616,37,17,11,25
良,72,26,93,2.751,50,8,14,24
良,63,17,75,2.673,52,12,22,19
良,68,18,85,2.803,57,9,29,14
良,58,12,65,2.51,53,17,35,16
良,60,12,70,2.326,31,40,34,29
良,62,13,74,2.318,25,42,26,13
良,65,14,80,2.418,27,37,19,18
良,73,17,95,2.642,36,23,18,10
良,76,18,101,2.211,45,10,20,15
良,73,15,95,2.721,46,12,22,35
良,74,14,97,2.287,29,26,20,27
良,71,15,91,2.373,25,30,17,27
良,68,17,86,2.53,38,20,16,18
良,72,22,94,2.876,50,10,24,21
良,59,14,67,2.452,52,12,35,21
良,64,17,77,2.936,57,11,40,33
良,62,15,74,2.374,24,45,38,29
良,59,19,68,2.323,18,56,28,20
轻度污染,108,81,151,3.128,45,7,7,34
轻度污染,137,104,194,2.896,49,8,7,36
轻度污染,144,110,212,2.881,52,8,8,34
良,81,55,112,2.656,50,7,11,15
轻度污染,137,104,200,3.096,55,7,20,17
良,93,64,136,2.795,63,7,29,30
良,79,45,108,2.298,60,20,33,40
良,80,47,110,1.972,36,44,30,39
良,88,56,125,1.964,31,46,21,29
轻度污染,110,83,168,2.252,41,30,12,24
轻度污染,104,74,157,2.518,47,12,8,17
良,90,59,130,2.658,31,7,7,14
良,78,47,106,1.824,32,7,7,17
